REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
tmp1.wav	 tmp2.wav	 SQValue=1.305	 1.305	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.477	 1.477	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.817	 1.817	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.923	 1.923	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.975	 1.975	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.130	 2.130	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.333	 2.333	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.744	 2.744	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.543	 3.543	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.870	 3.870	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.342	 4.342	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.974	 1.974	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.307	 2.307	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.154	 3.154	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.604	 3.604	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.667	 3.667	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.681	 3.681	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.673	 3.673	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.690	 3.690	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.679	 3.679	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.677	 3.677	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.678	 3.678	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.949	 1.949	 0.000	 0	 16000	0.0000
